Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-09-01;20,00;26,67;6,67;32,00;5,33;13,00
2019-09-08;20,00;34,67;0,00;21,33;6,67;10,00
2019-09-15;28,00;36,00;5,33;24,00;6,67;8,00
2019-09-22;21,00;43,40;1,40;16,80;0,00;10,00
2019-09-29;31,00;29,65;1,35;29,65;0,00;2,00
2019-10-06;15,00;30,00;2,50;16,25;0,00;8,00
2019-10-13;17,00;36,62;2,62;27,46;6,54;5,00
2019-10-20;30,00;60,00;6,82;17,73;2,73;10,00
2019-10-27;24,00;41,33;2,67;26,67;2,67;10,00
2019-11-03;36,00;40,00;4,00;28,00;2,67;3,00
2019-11-10;25,00;52,63;7,89;30,26;1,32;6,00
2019-11-17;28,00;69,33;6,67;28,00;1,33;3,00
2019-11-24;31,00;45,83;9,43;32,35;2,70;8,00
2019-12-01;29,00;64,59;2,64;32,95;7,91;10,00
2019-12-08;36,00;57,33;4,00;37,33;18,67;9,00
2019-12-15;35,00;80,77;2,69;35,00;2,69;8,00
2019-12-22;28,00;61,33;5,33;30,67;1,33;7,00
2019-12-29;29,00;72,50;2,64;47,45;3,95;13,00
2020-01-05;61,00;64,98;6,63;37,13;3,98;19,00
2020-01-12;48,00;78,67;6,67;34,67;1,33;7,00
2020-01-19;32,00;62,67;4,00;22,67;4,00;8,00
2020-01-26;34,00;63,92;4,08;40,80;2,72;15,00
2020-02-02;32,00;69,33;5,33;28,00;0,00;5,00
2020-02-09;40,00;85,33;1,33;21,33;0,00;16,00
2020-02-16;36,00;62,67;1,33;33,33;4,00;7,00
2020-02-23;22,00;68,75;1,38;28,88;2,75;6,00
2020-03-01;42,00;70,88;5,25;18,38;3,94;10,00
2020-03-08;27,00;56,70;0,00;28,35;4,05;4,00
2020-03-15;20,00;42,67;4,00;18,67;0,00;7,00
2020-03-22;14,00;30,80;1,40;7,00;1,40;10,00
2020-03-29;17,00;18,31;0,00;9,15;2,62;3,00
2020-04-05;13,00;29,90;3,90;10,40;0,00;6,00
2020-04-12;18,00;23,54;4,15;12,46;5,54;4,00
2020-04-19;11,00;24,75;4,13;8,25;0,00;1,00
2020-04-26;12,00;25,33;2,67;13,33;0,00;5,00
2020-05-03;5,00;22,50;2,50;10,00;0,00;7,00
2020-05-10;8,00;21,33;0,00;8,00;2,67;1,00
2020-05-17;7,00;12,60;4,20;8,40;1,40;8,00
2020-05-24;16,00;24,00;0,00;10,67;0,00;1,00
2020-05-31;11,00;30,25;1,38;19,25;6,88;4,00
2020-06-07;15,00;23,18;0,00;8,18;2,73;4,00
2020-06-14;18,00;29,57;1,29;11,57;0,00;7,00
2020-06-21;18,00;18,00;2,77;5,54;1,38;6,00
2020-06-28;15,00;30,00;1,36;5,45;2,73;7,00
2020-07-05;24,00;30,67;4,00;24,00;2,67;7,00
2020-07-12;19,00;46,87;3,80;15,20;3,80;15,00
2020-07-19;21,00;35,00;0,00;19,60;2,80;7,00
2020-07-26;17,00;46,75;7,08;12,75;1,42;6,00
2020-08-02;19,00;57,00;2,71;13,57;1,36;11,00
2020-08-09;25,00;27,63;5,26;6,58;2,63;8,00
2020-08-16;18,00;48,86;1,29;7,71;3,86;9,00
2020-08-23;21,00;44,63;3,94;9,19;3,94;4,00
2020-08-30;20,00;33,33;2,67;14,67;5,33;7,00
2020-09-06;23,00;36,53;4,06;12,18;1,35;1,00
2020-09-13;12,00;34,67;1,33;8,00;1,33;19,00
2020-09-20;18,00;24,43;2,57;14,14;2,57;7,00
2020-09-27;7,00;23,80;4,20;7,00;2,80;6,00
2020-10-04;16,00;17,33;4,00;5,33;0,00;6,00
2020-10-11;9,00;20,57;1,29;7,71;1,29;5,00
2020-10-18;22,00;18,12;5,18;12,94;0,00;3,00
2020-10-25;8,00;17,33;0,00;2,67;1,33;4,00
2020-11-01;15,00;17,73;4,09;10,91;1,36;4,00
2020-11-08;24,00;33,33;2,67;12,00;2,67;6,00
2020-11-15;13,00;30,33;2,89;23,11;2,89;3,00
2020-11-22;17,00;26,15;1,31;7,85;2,62;4,00
2020-11-29;17,00;37,92;3,92;18,31;1,31;10,00
2020-12-06;44,00;66,67;2,67;10,67;0,00;13,00
2020-12-13;58,00;88,32;5,27;10,55;19,77;3,00
2020-12-20;49,00;98,00;11,92;19,86;7,95;13,00
2020-12-27;35,00;102,41;0,00;19,44;0,00;13,00
2021-01-03;51,00;134,21;5,37;13,42;4,03;10,00
2021-01-10;51,00;129,46;3,92;18,31;2,62;15,00
2021-01-17;22,00;88,00;3,88;16,82;1,29;65,00
2021-01-24;19,00;29,86;2,71;10,86;0,00;7,00
2021-01-31;14,00;67,45;1,27;16,55;0,00;12,00
2021-02-07;16,00;53,33;5,33;20,00;1,33;7,00
2021-02-14;15,00;53,18;0,00;10,91;0,00;5,00
2021-02-21;34,00;41,85;1,31;9,15;1,31;3,00
2021-02-28;27,00;17,55;2,70;6,75;1,35;8,00
2021-03-07;28,00;26,67;2,67;9,33;0,00;10,00
2021-03-14;24,00;25,33;1,33;16,00;1,33;7,00
2021-03-21;15,00;31,36;4,09;10,91;1,36;7,00
2021-03-28;48,00;13,33;2,67;2,67;0,00;5,00
2021-04-04;16,00;30,67;4,00;14,67;1,33;6,00
2021-04-11;23,00;34,50;2,56;11,50;1,28;9,00
2021-04-18;19,00;35,47;3,80;10,13;2,53;9,00
2021-04-25;19,00;19,00;1,36;9,50;2,71;2,00
2021-05-02;21,00;38,06;1,31;17,06;2,63;3,00
2021-05-09;25,00;28,95;1,32;18,42;0,00;11,00
2021-05-16;18,00;46,29;2,57;15,43;1,29;7,00
2021-05-23;19,00;34,20;2,53;19,00;2,53;2,00
2021-05-30;19,00;36,64;4,07;28,50;1,36;3,00
2021-06-06;31,00;48,52;2,70;18,87;0,00;8,00
2021-06-13;20,00;40,00;0,00;10,67;1,33;4,00
2021-06-20;31,00;44,48;5,39;22,91;4,04;3,00
2021-06-27;21,00;55,13;2,63;18,38;3,94;6,00
2021-07-04;39,00;69,93;4,03;9,41;1,34;8,00
2021-07-11;29,00;42,18;5,27;13,18;5,27;5,00
2021-07-18;19,00;50,21;1,36;29,86;4,07;4,00
2021-07-25;26,00;33,80;5,20;16,90;1,30;5,00
2021-08-01;18,00;39,86;1,29;23,14;0,00;8,00
2021-08-08;30,00;54,78;6,52;20,87;0,00;9,00
2021-08-15;11,00;42,78;1,22;34,22;9,78;10,00
2021-08-22;17,00;32,69;7,85;17,00;3,92;11,00
2021-08-29;17,00;28,77;1,31;15,69;3,92;12,00
2021-09-05;11,00;20,63;6,88;24,75;4,13;5,00
2021-09-12;21,00;28,88;6,56;26,25;1,31;7,00
2021-09-19;17,00;34,00;5,23;27,46;0,00;11,00
2021-09-26;12,00;30,67;0,00;30,67;5,33;9,00
2021-10-03;12,00;30,67;4,00;17,33;0,00;14,00
2021-10-10;17,00;30,08;5,23;26,15;1,31;12,00
2021-10-17;27,00;33,75;1,35;17,55;0,00;14,00
2021-10-24;15,00;39,55;4,09;31,36;1,36;14,00
2021-10-31;26,00;65,00;1,30;29,90;3,90;16,00
2021-11-07;31,00;44,48;5,39;32,35;4,04;14,00
2021-11-14;14,00;40,73;2,55;21,64;1,27;12,00
2021-11-21;8,00;78,67;0,00;30,67;0,00;7,00
2021-11-28;13,00;46,22;1,44;14,44;8,67;100,00
2021-12-05;24,00;32,00;6,67;16,00;5,33;7,00
2021-12-12;25,00;43,42;3,95;15,79;21,05;9,00
2021-12-19;29,00;73,82;7,91;23,73;1,32;10,00
2021-12-26;31,00;74,92;7,75;37,46;2,58;8,00
2022-01-02;36,00;65,33;4,00;37,33;4,00;61,00
2022-01-09;34,00;62,56;9,52;54,40;1,36;18,00
2022-01-16;45,00;60,88;7,94;41,03;1,32;5,00
2022-01-23;24,00;57,33;1,33;45,33;0,00;7,00
2022-01-30;38,00;66,50;4,07;50,21;1,36;6,00
2022-02-06;33,00;73,92;3,96;39,60;0,00;4,00
2022-02-13;21,00;44,63;6,56;34,13;1,31;9,00
2022-02-20;41,00;75,39;6,61;38,35;5,29;7,00
2022-02-27;23,00;39,24;9,47;48,71;0,00;2,00
