Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-03-22;3,00;7,00;3,00;26,00;17,00;102,00
2020-03-29;3,00;5,00;3,00;23,00;16,00;90,00
2020-04-05;2,00;8,00;7,00;30,00;18,00;68,00
2020-04-12;2,00;7,00;4,00;30,00;14,00;64,00
2020-04-19;6,00;8,00;4,00;31,00;13,00;90,00
2020-04-26;4,00;8,00;3,00;30,00;16,00;52,00
2020-05-03;4,00;8,00;3,00;32,00;14,00;52,00
2020-05-10;4,00;4,00;3,00;22,00;17,00;44,00
2020-05-17;3,00;6,00;4,00;39,00;15,00;45,00
2020-05-24;3,00;7,00;2,00;34,00;15,00;42,00
2020-05-31;6,00;9,00;5,00;38,00;21,00;90,00
2020-06-07;5,00;8,00;4,00;32,00;16,00;70,00
2020-06-14;5,00;9,00;5,00;30,00;17,00;75,00
2020-06-21;6,00;5,00;3,00;40,00;20,00;96,00
2020-06-28;7,00;12,00;5,00;35,00;17,00;133,00
2020-07-05;6,00;9,00;5,00;30,00;15,00;150,00
2020-07-12;5,00;7,00;6,00;28,00;23,00;115,00
2020-07-19;4,00;7,00;4,00;41,00;20,00;88,00
2020-07-26;6,00;7,00;5,00;31,00;18,00;144,00
2020-08-02;4,00;7,00;3,00;36,00;22,00;80,00
2020-08-09;5,00;8,00;5,00;35,00;20,00;105,00
2020-08-16;5,00;9,00;2,00;31,00;19,00;115,00
2020-08-23;4,00;12,00;5,00;33,00;22,00;88,00
2020-08-30;6,00;9,00;4,00;28,00;23,00;126,00
2020-09-06;5,00;8,00;2,00;28,00;19,00;110,00
2020-09-13;4,00;16,00;4,00;31,00;27,00;112,00
2020-09-20;3,00;10,00;4,00;38,00;20,00;72,00
2020-09-27;3,00;11,00;2,00;32,00;26,00;63,00
2020-10-04;5,00;5,00;3,00;27,00;25,00;95,00
2020-10-11;4,00;7,00;3,00;39,00;29,00;68,00
2020-10-18;5,00;6,00;4,00;36,00;35,00;90,00
2020-10-25;3,00;10,00;4,00;35,00;40,00;108,00
2020-11-01;4,00;4,00;2,00;25,00;21,00;60,00
2020-11-08;7,00;5,00;3,00;27,00;23,00;133,00
2020-11-15;5,00;7,00;3,00;33,00;22,00;95,00
2020-11-22;4,00;7,00;5,00;29,00;27,00;80,00
2020-11-29;5,00;14,00;4,00;26,00;31,00;150,00
2020-12-06;5,00;8,00;4,00;30,00;29,00;110,00
2020-12-13;4,00;5,00;2,00;23,00;27,00;88,00
2020-12-20;6,00;9,00;2,00;29,00;34,00;144,00
2020-12-27;3,00;13,00;4,00;35,00;31,00;186,00
2021-01-03;3,00;17,00;4,00;36,00;32,00;96,00
2021-01-10;5,00;15,00;2,00;31,00;21,00;115,00
2021-01-17;5,00;25,00;6,00;31,00;20,00;130,00
2021-01-24;2,00;13,00;4,00;29,00;18,00;84,00
2021-01-31;2,00;16,00;4,00;29,00;15,00;400,00
2021-02-07;2,00;13,00;3,00;19,00;44,00;80,00
2021-02-14;3,00;15,00;4,00;25,00;21,00;57,00
2021-02-21;4,00;10,00;3,00;27,00;27,00;84,00
2021-02-28;5,00;8,00;4,00;33,00;18,00;85,00
2021-03-07;3,00;7,00;3,00;25,00;14,00;114,00
2021-03-14;3,00;9,00;5,00;30,00;16,00;96,00
2021-03-21;2,00;6,00;3,00;29,00;18,00;60,00
2021-03-28;3,00;5,00;2,00;25,00;15,00;96,00
2021-04-04;1,00;7,00;2,00;29,00;15,00;38,00
2021-04-11;3,00;5,00;2,00;27,00;18,00;114,00
2021-04-18;2,00;3,00;3,00;22,00;14,00;60,00
2021-04-25;2,00;5,00;3,00;29,00;14,00;64,00
2021-05-02;3,00;5,00;2,00;34,00;20,00;66,00
2021-05-09;2,00;4,00;2,00;28,00;13,00;64,00
2021-05-16;2,00;5,00;1,00;29,00;18,00;64,00
2021-05-23;3,00;5,00;2,00;24,00;18,00;90,00
2021-05-30;7,00;8,00;3,00;36,00;21,00;119,00
2021-06-06;6,00;6,00;1,00;27,00;15,00;90,00
2021-06-13;1,00;4,00;3,00;22,00;14,00;30,00
2021-06-20;3,00;5,00;2,00;37,00;22,00;204,00
2021-06-27;1,00;3,00;3,00;25,00;21,00;66,00
2021-07-04;3,00;7,00;2,00;25,00;22,00;81,00
2021-07-11;3,00;10,00;5,00;30,00;24,00;81,00
2021-07-18;3,00;6,00;3,00;32,00;20,00;180,00
2021-07-25;2,00;4,00;4,00;28,00;38,00;124,00
2021-08-01;1,00;4,00;2,00;36,00;36,00;70,00
2021-08-08;5,00;8,00;4,00;37,00;28,00;180,00
2021-08-15;2,00;6,00;4,00;38,00;33,00;136,00
2021-08-22;3,00;5,00;1,00;42,00;33,00;216,00
2021-08-29;3,00;3,00;3,00;33,00;34,00;222,00
2021-09-05;4,00;2,00;3,00;31,00;29,00;148,00
2021-09-12;2,00;3,00;1,00;35,00;31,00;132,00
2021-09-19;2,00;4,00;5,00;40,00;40,00;136,00
2021-09-26;4,00;5,00;4,00;32,00;27,00;132,00
2021-10-03;3,00;5,00;5,00;45,00;33,00;216,00
2021-10-10;5,00;7,00;3,00;31,00;32,00;175,00
2021-10-17;2,00;3,00;3,00;31,00;33,00;156,00
2021-10-24;3,00;6,00;3,00;36,00;30,00;204,00
2021-10-31;3,00;4,00;3,00;47,00;34,00;204,00
2021-11-07;1,00;6,00;4,00;40,00;33,00;70,00
2021-11-14;4,00;5,00;3,00;45,00;31,00;128,00
2021-11-21;3,00;13,00;3,00;32,00;32,00;180,00
2021-11-28;3,00;6,00;2,00;29,00;28,00;354,00
2021-12-05;2,00;3,00;3,00;31,00;21,00;104,00
2021-12-12;2,00;4,00;1,00;38,00;27,00;100,00
2021-12-19;2,00;5,00;5,00;32,00;29,00;120,00
2021-12-26;4,00;21,00;6,00;55,00;41,00;176,00
2022-01-02;3,00;17,00;8,00;71,00;69,00;336,00
2022-01-09;4,00;15,00;5,00;81,00;59,00;216,00
2022-01-16;7,00;13,00;5,00;77,00;57,00;378,00
2022-01-23;4,00;15,00;5,00;76,00;52,00;208,00
2022-01-30;3,00;10,00;6,00;66,00;48,00;144,00
2022-02-06;3,00;9,00;5,00;67,00;44,00;126,00
2022-02-13;3,00;18,00;7,00;68,00;44,00;108,00
2022-02-20;4,00;14,00;3,00;62,00;40,00;140,00
2022-02-27;3,00;7,00;4,00;58,00;36,00;96,00
