Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-10-20;45,00;66,72;4,66;9,31;4,66;3,00
2019-10-27;48,00;69,68;4,65;7,74;3,10;3,00
2019-11-03;44,00;61,29;4,71;7,86;3,14;3,00
2019-11-10;44,00;66,00;4,71;7,86;3,14;3,00
2019-11-17;49,00;62,78;4,59;6,13;3,06;2,00
2019-11-24;50,00;62,50;6,25;6,25;3,13;3,00
2019-12-01;47,00;61,10;4,70;7,83;3,13;3,00
2019-12-08;49,00;64,31;6,13;7,66;12,25;3,00
2019-12-15;46,00;78,20;9,20;12,27;3,07;3,00
2019-12-22;52,00;79,53;6,12;10,71;4,59;4,00
2019-12-29;64,00;86,86;6,10;12,19;3,05;5,00
2020-01-05;66,00;87,49;6,14;12,28;3,07;3,00
2020-01-12;67,00;92,89;6,09;9,14;3,05;4,00
2020-01-19;57,00;80,11;6,16;9,24;3,08;3,00
2020-01-26;59,00;85,39;6,21;10,87;3,11;5,00
2020-02-02;56,00;80,22;3,03;9,08;3,03;3,00
2020-02-09;61,00;79,30;4,58;9,15;3,05;3,00
2020-02-16;54,00;86,40;4,63;13,89;3,09;4,00
2020-02-23;49,00;68,91;4,59;10,72;3,06;3,00
2020-03-01;45,00;69,83;4,66;7,76;3,10;3,00
2020-03-08;50,00;79,69;4,69;6,25;3,13;3,00
2020-03-15;35,00;60,87;3,04;4,57;1,52;3,00
2020-03-22;28,00;43,56;1,56;3,11;1,56;2,00
2020-03-29;22,00;39,29;1,57;3,14;1,57;2,00
2020-04-05;20,00;35,38;3,08;1,54;1,54;1,00
2020-04-12;18,00;37,50;3,00;3,00;1,50;2,00
2020-04-19;21,00;33,00;3,00;3,00;1,50;3,00
2020-04-26;21,00;34,50;3,00;3,00;3,00;2,00
2020-05-03;22,00;34,57;1,57;1,57;1,57;2,00
2020-05-10;25,00;36,76;4,41;1,47;1,47;2,00
2020-05-17;38,00;47,12;3,04;1,52;1,52;1,00
2020-05-24;28,00;46,67;3,11;1,56;1,56;1,00
2020-05-31;28,00;45,11;3,11;3,11;1,56;2,00
2020-06-07;26,00;44,35;3,06;3,06;1,53;2,00
2020-06-14;33,00;49,50;3,00;4,50;1,50;2,00
2020-06-21;30,00;46,50;4,50;3,00;1,50;2,00
2020-06-28;32,00;50,29;3,05;3,05;7,62;2,00
2020-07-05;30,00;48,00;3,00;3,00;3,00;3,00
2020-07-12;34,00;51,00;3,09;3,09;1,55;4,00
2020-07-19;32,00;48,76;4,57;3,05;1,52;4,00
2020-07-26;34,00;52,55;4,64;3,09;1,55;3,00
2020-08-02;33,00;51,86;4,71;4,71;3,14;2,00
2020-08-09;37,00;52,42;4,63;3,08;1,54;2,00
2020-08-16;38,00;55,42;4,75;4,75;1,58;3,00
2020-08-23;33,00;59,71;3,14;3,14;1,57;2,00
2020-08-30;34,00;51,00;3,09;3,09;1,55;3,00
2020-09-06;38,00;54,72;3,04;3,04;1,52;2,00
2020-09-13;33,00;56,57;4,71;3,14;1,57;7,00
2020-09-20;34,00;57,18;3,09;4,64;1,55;2,00
2020-09-27;31,00;49,60;3,10;3,10;1,55;2,00
2020-10-04;30,00;42,00;3,00;4,50;1,50;2,00
2020-10-11;39,00;53,04;4,68;4,68;3,12;2,00
2020-10-18;42,00;56,00;3,11;4,67;1,56;1,00
2020-10-25;34,00;52,55;3,09;3,09;1,55;3,00
2020-11-01;24,00;41,60;1,60;1,60;1,60;2,00
2020-11-08;25,00;43,75;3,13;6,25;1,56;2,00
2020-11-15;26,00;47,41;4,59;4,59;1,53;2,00
2020-11-22;36,00;57,91;3,13;7,83;3,13;6,00
2020-11-29;46,00;56,73;4,60;4,60;3,07;2,00
2020-12-06;70,00;79,13;7,61;6,09;7,61;2,00
2020-12-13;75,00;103,13;7,81;6,25;12,50;2,00
2020-12-20;59,00;94,71;9,32;7,76;4,66;2,00
2020-12-27;90,00;133,45;7,76;10,86;3,10;3,00
2021-01-03;99,00;151,59;9,28;12,38;1,55;3,00
2021-01-10;100,00;153,85;7,69;9,23;1,54;4,00
2021-01-17;87,00;146,04;6,21;7,77;3,11;4,00
2021-01-24;54,00;97,20;6,17;6,17;1,54;2,00
2021-01-31;43,00;104,43;6,14;3,07;1,54;2,00
2021-02-07;33,00;66,00;3,00;4,50;1,50;2,00
2021-02-14;41,00;65,30;4,56;3,04;1,52;2,00
2021-02-21;34,00;63,36;3,09;4,64;1,55;2,00
2021-02-28;36,00;54,78;4,70;3,13;1,57;2,00
2021-03-07;36,00;55,50;3,00;4,50;1,50;2,00
2021-03-14;40,00;49,23;4,62;3,08;1,54;2,00
2021-03-21;33,00;48,00;3,00;4,50;1,50;1,00
2021-03-28;27,00;44,47;3,18;1,59;1,59;1,00
2021-04-04;29,00;48,84;3,05;6,11;1,53;2,00
2021-04-11;31,00;51,15;3,10;4,65;1,55;4,00
2021-04-18;31,00;46,50;4,65;4,65;1,55;2,00
2021-04-25;31,00;54,25;3,10;4,65;1,55;5,00
2021-05-02;36,00;50,09;4,70;6,26;1,57;2,00
2021-05-09;35,00;48,70;4,57;4,57;1,52;2,00
2021-05-16;37,00;55,50;4,63;4,63;1,54;2,00
2021-05-23;37,00;58,58;4,63;4,63;1,54;2,00
2021-05-30;42,00;57,56;4,67;4,67;1,56;1,00
2021-06-06;46,00;62,87;9,20;7,67;1,53;2,00
2021-06-13;44,00;57,66;6,07;4,55;1,52;2,00
2021-06-20;49,00;65,84;4,59;6,13;1,53;4,00
2021-06-27;40,00;67,69;4,62;6,15;1,54;2,00
2021-07-04;46,00;65,93;4,60;6,13;1,53;2,00
2021-07-11;57,00;66,24;4,62;6,16;1,54;3,00
2021-07-18;52,00;74,94;6,12;6,12;3,06;3,00
2021-07-25;60,00;96,92;7,69;7,69;3,08;2,00
2021-08-01;46,00;110,40;6,13;7,67;3,07;5,00
2021-08-08;63,00;112,17;6,15;9,22;1,54;3,00
2021-08-15;38,00;65,36;4,56;6,08;3,04;3,00
2021-08-22;36,00;62,61;4,70;6,26;3,13;14,00
2021-08-29;30,00;51,00;4,50;9,00;1,50;3,00
2021-09-05;34,00;49,45;4,64;7,73;3,09;3,00
2021-09-12;30,00;54,00;3,00;7,50;1,50;3,00
2021-09-19;37,00;60,13;4,63;7,71;1,54;3,00
2021-09-26;43,00;58,36;4,61;7,68;1,54;2,00
2021-10-03;41,00;56,77;4,73;9,46;1,58;2,00
2021-10-10;49,00;68,91;4,59;10,72;3,06;5,00
2021-10-17;47,00;75,20;6,27;9,40;1,57;2,00
2021-10-24;48,00;77,42;6,19;7,74;1,55;5,00
2021-10-31;54,00;75,60;7,71;10,80;3,09;4,00
2021-11-07;60,00;75,38;6,15;10,77;3,08;3,00
2021-11-14;48,00;113,03;6,19;7,74;3,10;2,00
2021-11-21;54,00;152,74;7,71;9,26;3,09;4,00
2021-11-28;40,00;87,69;4,62;6,15;3,08;21,00
2021-12-05;32,00;64,00;4,57;9,14;3,05;4,00
2021-12-12;41,00;62,26;6,07;6,07;9,11;3,00
2021-12-19;46,00;75,13;4,60;7,67;3,07;2,00
2021-12-26;56,00;93,33;6,22;7,78;1,56;3,00
2022-01-02;67,00;110,63;7,79;12,47;3,12;4,00
2022-01-09;57,00;80,11;7,70;15,41;1,54;2,00
2022-01-16;53,00;88,85;10,91;15,59;1,56;3,00
2022-01-23;56,00;80,89;9,33;14,00;1,56;4,00
2022-01-30;65,00;82,02;7,74;12,38;1,55;4,00
2022-02-06;59,00;83,21;7,56;12,10;1,51;3,00
2022-02-13;62,00;79,05;7,75;13,95;1,55;3,00
2022-02-20;55,00;77,92;7,64;10,69;1,53;4,00
2022-02-27;58,00;78,38;6,27;9,41;3,14;3,00
