Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-03-08;14,00;22,00;3,00;68,00;8,00;56,00
2020-03-15;11,00;24,00;1,00;43,00;2,00;97,43
2020-03-22;8,00;9,00;1,00;12,00;5,00;35,20
2020-03-29;8,00;14,00;4,00;15,00;1,00;20,80
2020-04-05;4,00;11,00;4,00;17,00;4,00;24,00
2020-04-12;6,00;6,00;2,00;22,00;3,00;18,00
2020-04-19;8,00;11,00;3,00;11,00;1,00;11,20
2020-04-26;3,00;10,00;4,00;17,00;2,00;15,00
2020-05-03;6,00;6,00;1,00;11,00;2,00;16,50
2020-05-10;7,00;13,00;3,00;19,00;2,00;19,25
2020-05-17;4,00;10,00;3,00;18,00;4,00;13,33
2020-05-24;4,00;13,00;1,00;20,00;1,00;14,67
2020-05-31;6,00;12,00;3,00;18,00;1,00;25,50
2020-06-07;5,00;13,00;2,00;19,00;2,00;20,00
2020-06-14;6,00;8,00;3,00;25,00;2,00;15,00
2020-06-21;7,00;9,00;2,00;11,00;2,00;22,75
2020-06-28;3,00;11,00;1,00;19,00;2,00;12,00
2020-07-05;5,00;14,00;2,00;20,00;2,00;13,33
2020-07-12;1,00;10,00;2,00;15,00;2,00;13,00
2020-07-19;3,00;9,00;2,00;21,00;1,00;15,00
2020-07-26;5,00;8,00;2,00;23,00;2,00;25,00
2020-08-02;3,00;6,00;3,00;26,00;2,00;15,00
2020-08-09;6,00;4,00;2,00;20,00;2,00;13,50
2020-08-16;5,00;12,00;2,00;18,00;2,00;21,67
2020-08-23;4,00;15,00;2,00;21,00;2,00;9,33
2020-08-30;3,00;15,00;1,00;16,00;2,00;13,50
2020-09-06;8,00;15,00;4,00;13,00;3,00;12,80
2020-09-13;7,00;15,00;3,00;14,00;4,00;29,75
2020-09-20;8,00;16,00;2,00;16,00;4,00;22,40
2020-09-27;5,00;16,00;1,00;19,00;5,00;21,67
2020-10-04;6,00;9,00;3,00;14,00;1,00;21,00
2020-10-11;7,00;9,00;1,00;22,00;4,00;28,00
2020-10-18;2,00;11,00;4,00;15,00;2,00;22,00
2020-10-25;5,00;10,00;2,00;13,00;1,00;20,00
2020-11-01;4,00;9,00;1,00;15,00;0,50;13,33
2020-11-08;3,00;7,00;2,00;13,00;4,00;16,50
2020-11-15;4,00;6,00;4,00;16,00;2,00;24,00
2020-11-22;7,00;9,00;2,00;17,00;5,00;14,00
2020-11-29;6,00;6,00;2,00;16,00;5,00;15,00
2020-12-06;6,00;11,00;3,00;14,00;2,00;16,50
2020-12-13;5,00;10,00;12,00;16,00;5,00;21,67
2020-12-20;8,00;17,00;5,00;21,00;4,00;25,60
2020-12-27;14,00;16,00;3,00;27,00;3,00;29,56
2021-01-03;13,00;14,00;2,00;34,00;7,00;22,75
2021-01-10;7,00;17,00;2,00;20,00;4,00;19,60
2021-01-17;6,00;18,00;1,00;24,00;3,00;25,50
2021-01-24;6,00;14,00;3,00;28,00;3,00;55,50
2021-01-31;8,00;18,00;6,00;27,00;5,00;20,80
2021-02-07;4,00;19,00;2,00;26,00;3,00;10,67
2021-02-14;5,00;13,00;1,00;19,00;3,00;20,00
2021-02-21;5,00;11,00;1,00;25,00;3,00;16,67
2021-02-28;3,00;10,00;1,00;27,00;2,00;12,00
2021-03-07;10,00;9,00;2,00;33,00;3,00;15,71
2021-03-14;6,00;10,00;2,00;21,00;2,00;15,00
2021-03-21;3,00;10,00;2,00;25,00;2,00;13,50
2021-03-28;2,00;5,00;2,00;20,00;2,00;12,00
2021-04-04;3,00;9,00;3,00;29,00;2,00;28,50
2021-04-11;4,00;14,00;2,00;23,00;2,00;32,00
2021-04-18;4,00;10,00;2,00;26,00;2,00;30,00
2021-04-25;5,00;7,00;3,00;44,00;4,00;18,33
2021-05-02;4,00;6,00;2,00;50,00;4,00;14,67
2021-05-09;5,00;9,00;2,00;57,00;2,00;18,33
2021-05-16;3,00;8,00;1,00;50,00;3,00;13,50
2021-05-23;8,00;8,00;2,00;66,00;2,00;24,00
2021-05-30;8,00;7,00;2,00;40,00;4,00;25,60
2021-06-06;7,00;15,00;4,00;40,00;3,00;19,60
2021-06-13;7,00;9,00;3,00;49,00;3,00;15,40
2021-06-20;7,00;9,00;3,00;44,00;6,00;24,50
2021-06-27;7,00;14,00;3,00;40,00;3,00;21,00
2021-07-04;6,00;11,00;2,00;53,00;4,00;21,00
2021-07-11;10,00;15,00;4,00;46,00;4,00;11,67
2021-07-18;4,00;16,00;4,00;48,00;2,00;16,00
2021-07-25;12,00;11,00;3,00;46,00;2,00;19,50
2021-08-01;9,00;16,00;1,00;56,00;3,00;28,80
2021-08-08;10,00;18,00;2,00;52,00;4,00;16,67
2021-08-15;9,00;13,00;4,00;50,00;4,00;32,40
2021-08-22;5,00;11,00;5,00;59,00;2,00;20,00
2021-08-29;5,00;13,00;4,00;59,00;5,00;35,00
2021-09-05;7,00;10,00;1,00;49,00;2,00;25,20
2021-09-12;8,00;15,00;2,00;56,00;2,00;32,00
2021-09-19;10,00;18,00;2,00;46,00;4,00;35,00
2021-09-26;7,00;12,00;2,00;61,00;2,00;22,75
2021-10-03;8,00;14,00;4,00;58,00;4,00;24,00
2021-10-10;17,00;22,00;7,00;76,00;11,00;37,09
2021-10-17;17,00;18,00;6,00;73,00;9,00;54,09
2021-10-24;11,00;22,00;6,00;56,00;2,00;29,86
2021-10-31;11,00;22,00;7,00;76,00;5,00;56,57
2021-11-07;9,00;15,00;4,00;55,00;6,00;45,00
2021-11-14;10,00;16,00;8,00;50,00;5,00;40,00
2021-11-21;8,00;37,00;5,00;42,00;5,00;38,40
2021-11-28;14,00;24,00;2,00;41,00;4,00;155,56
2021-12-05;12,00;15,00;5,00;54,00;5,00;48,00
2021-12-12;13,00;18,00;6,00;52,00;6,00;43,88
2021-12-19;12,00;12,00;8,00;64,00;8,00;46,50
2021-12-26;14,00;24,00;4,00;93,00;6,00;52,89
2022-01-02;14,00;27,00;9,00;86,00;9,00;51,33
2022-01-09;11,00;23,00;7,00;100,00;5,00;36,14
2022-01-16;11,00;15,00;3,00;67,00;5,00;73,86
2022-01-23;14,00;19,00;4,00;74,00;7,00;37,33
2022-01-30;11,00;19,00;18,00;83,00;8,00;34,57
2022-02-06;15,00;13,00;3,00;75,00;10,00;38,33
2022-02-13;15,00;17,00;5,00;79,00;7,00;31,67
2022-02-20;7,00;18,00;3,00;88,00;3,00;38,50
2022-02-27;20,00;16,00;2,00;49,00;5,00;58,46
