Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2021-03-21;15,00;13,00;6,00;17,00;2,00;8,75
2021-03-28;14,00;14,00;5,00;26,00;0,00;9,33
2021-04-04;9,00;14,00;2,00;39,00;7,00;2,57
2021-04-11;8,00;25,00;0,00;47,00;0,00;16,00
2021-04-18;7,00;28,00;6,00;49,00;2,00;9,80
2021-04-25;11,00;17,00;12,00;45,00;2,00;11,00
2021-05-02;11,00;26,00;8,00;41,00;2,00;6,11
2021-05-09;13,00;22,00;4,00;51,00;7,00;15,36
2021-05-16;23,00;23,00;8,00;21,00;4,00;10,89
2021-05-23;24,00;27,00;4,00;38,00;2,00;13,20
2021-05-30;2,00;17,00;0,00;33,00;9,00;4,00
2021-06-06;2,00;15,00;2,00;37,00;9,00;9,00
2021-06-13;11,00;20,00;9,00;43,00;0,00;15,89
2021-06-20;9,00;28,00;6,00;29,00;4,00;19,29
2021-06-27;13,00;24,00;2,00;18,00;2,00;4,73
2021-07-04;20,00;25,00;2,00;35,00;5,00;4,71
2021-07-11;9,00;23,00;5,00;21,00;2,00;13,50
2021-07-18;21,00;21,00;5,00;40,00;5,00;11,12
2021-07-25;22,00;27,00;10,00;31,00;10,00;28,95
2021-08-01;7,00;32,00;5,00;33,00;8,00;9,33
2021-08-08;25,00;38,00;10,00;33,00;0,00;10,71
2021-08-15;14,00;23,00;9,00;38,00;7,00;11,67
2021-08-22;15,00;17,00;7,00;28,00;5,00;16,25
2021-08-29;9,00;21,00;5,00;46,00;0,00;13,50
2021-09-05;22,00;17,00;5,00;54,00;0,00;14,67
2021-09-12;9,00;19,00;5,00;19,00;0,00;6,75
2021-09-19;18,00;18,00;5,00;31,00;2,00;19,20
2021-09-26;9,00;30,00;7,00;43,00;2,00;9,00
2021-10-03;12,00;43,00;7,00;27,00;2,00;9,60
2021-10-10;22,00;35,00;17,00;36,00;5,00;17,37
2021-10-17;14,00;43,00;5,00;37,00;5,00;23,33
2021-10-24;16,00;38,00;0,00;34,00;0,00;32,00
2021-10-31;23,00;37,00;5,00;33,00;7,00;24,21
2021-11-07;9,00;39,00;14,00;31,00;7,00;24,75
2021-11-14;5,00;32,00;5,00;50,00;12,00;32,50
2021-11-21;29,00;100,00;9,00;41,00;5,00;20,54
2021-11-28;9,00;42,00;7,00;29,00;13,00;128,57
2021-12-05;7,00;23,00;5,00;30,00;0,00;17,50
2021-12-12;9,00;30,00;5,00;33,00;2,00;15,75
2021-12-19;11,00;25,00;5,00;47,00;6,00;23,22
2021-12-26;17,00;40,00;6,00;50,00;9,00;6,07
2022-01-02;20,00;46,00;5,00;57,00;7,00;33,75
2022-01-09;17,00;38,00;0,00;36,00;7,00;17,00
2022-01-16;17,00;24,00;12,00;55,00;7,00;21,86
2022-01-23;5,00;47,00;0,00;46,00;5,00;25,00
2022-01-30;22,00;29,00;2,00;70,00;10,00;33,00
2022-02-06;15,00;23,00;7,00;46,00;0,00;7,50
2022-02-13;27,00;25,00;5,00;56,00;5,00;19,96
2022-02-20;24,00;32,00;7,00;42,00;7,00;9,60
2022-02-27;17,00;26,00;3,00;37,00;3,00;14,57
